Age Group,Gender,City,Cleanliness of public toilets,Safety of public toilets,Features in public toilets,Public Service Use,Frequency of Public Service Use,Satisfaction of Pulic Transportation,Suggestion for Pulic Transportation,Visting of Local Parks,Frequency of Visting of Local Parks,Important Park amenities,Issues in Park,Safety of Public Transportation,Suggestion for Parks,Satisfaction on Libraries resources,Frequency of Visiting Library,Satisfaction of Local Public Service,Suggestion for Libraries,Suggestion for Local Public Service
51-70 ,Female,Hyderabad,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Very dissatisfied,Monthly,Neutral,E book access,Improve customer service
36-50 ,Female,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,No,A few times a week,Unsatisfied,Increased safety and security,No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Never,Satisfied,Language learning programs,Enhance community engagement
36-50 ,Female,Palamaner,Fair,Very safe,Free Wi-Fi,No,Once a week,Very unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Restrooms,Crowding and noise,No,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,Language learning programs,Improve customer service
18-35 ,Female,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,Language learning programs,Invest in technology
36-50 ,Male,Kanakapura,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency
18-35 ,Male,Chennai,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Mysuru,Fair,Neutral,Free Wi-Fi,No,Everyday,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Palamaner,Good,Somewhat safe,Baby-changing facilities,No,Everyday,Neutral,Increased safety and security,Sometimes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Invest in technology
51-70 ,Female,Chennai,Fair,Somewhat safe,Free Wi-Fi,No,A few times a week,Satisfied,Increased safety and security,No,Improved lighting and safety,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Very Satisfied,Quarterly,Satisfied,Language learning programs,Improve customer service
36-50 ,Male,Kanakapura,Good,Very safe,Comfortable seating areas,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Hyderabad,Fair,Very safe,Comfortable seating areas,Yes,Once a week,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Crowding and noise,No,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Improve customer service
18-35 ,Male,Mysuru,Poor,Somewhat safe,Baby-changing facilities,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Playgrounds,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,Language learning programs,Invest in technology
36-50 ,Male,Bengaluru,Fair,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Crowding and noise,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service
36-50 ,Male,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Weekly,Neutral,E book access,Increase transparency
36-50 ,Male,Chennai,Poor,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Neutral,Quarterly,Very Dissatisfied,Language learning programs,Enhance community engagement
36-50 ,Female,Palamaner,Good,Somewhat safe,Air conditioning or heating,No,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Safety and security,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Male,Bengaluru,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Very unsatisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Invest in technology
36-50 ,Male,Tirupati,Fair,Neutral,Comfortable seating areas,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Female,Mysuru,Fair,Neutral,Comfortable seating areas,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Neutral,Language learning programs,Invest in technology
18-35 ,Male,Hyderabad,Good,Somewhat safe,Free Wi-Fi,Yes,Never,Satisfied,More frequent buses/trains,No,More amenities,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Female,Bengaluru,Good,Neutral,Comfortable seating areas,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,No,Never,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Monthly,Neutral,Language learning programs,Improve customer service
36-50 ,Female,Kolkata,Good,Somewhat safe,Comfortable seating areas,Yes,Everyday,Neutral,Increased safety and security,No,Increased programming and events,Playgrounds,Accessibility and inclusivity,No,Sports equipment rentals,Very Satisfied,Weekly,Neutral,Language learning programs,Improve customer service
51-70 ,Female,Kolkata,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Very Satisfied,Monthly,Dissatisfied,Language learning programs,Invest in technology
36-50 ,Male,Bengaluru,Good,Neutral,Accessible facilities for people with disabilities,No,Once a week,Satisfied,More frequent buses/trains,Yes,Improved lighting and safety,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Never,Satisfied,E book access,Increase transparency
18-35 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,Never,Satisfied,Increased safety and security,Yes,More amenities,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Mysuru,Fair,Very unsafe,Baby-changing facilities,Yes,Once a week,Unsatisfied,Increased safety and security,Sometimes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Male,Kanakapura,Poor,Very safe,Comfortable seating areas,No,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Female,Mysuru,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Satisfied,Language learning programs,Invest in technology
18-35 ,Male,Palamaner,Poor,Somewhat safe,Baby-changing facilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Rarely,Very Satisfied,E book access,Invest in technology
18-35 ,Female,Mysuru,Fair,Very safe,Free Wi-Fi,Yes,A few times a week,Neutral,Increased safety and security,No,Increased programming and events,Playgrounds,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Satisfied,E book access,Improve customer service
18-35 ,Female,Kanakapura,Good,Somewhat unsafe,Comfortable seating areas,Yes,Never,Neutral,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Male,Palamaner,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,E book access,Invest in technology
36-50 ,Male,Bengaluru,Fair,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Weekly,Very Satisfied,E book access,Improve customer service
36-50 ,Male,Bengaluru,Fair,Neutral,Free Wi-Fi,Yes,A few times a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Never,Neutral,Language learning programs,Invest in technology
36-50 ,Male,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Female,Hyderabad,Fair,Somewhat safe,Free Wi-Fi,Yes,Never,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service
36-50 ,Female,Hyderabad,Good,Very safe,Comfortable seating areas,Yes,Once a week,Satisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Accessibility and inclusivity,Sometimes,Public restrooms,Neutral,Monthly,Satisfied,E book access,Increase transparency
18-35 ,Male,Kanakapura,Fair,Very safe,Comfortable seating areas,Yes,Never,Unsatisfied,More frequent buses/trains,Sometimes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Satisfied,Monthly,Neutral,E book access,Improve customer service
18-35 ,Female,Mysuru,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Never,Dissatisfied,Language learning programs,Enhance community engagement
36-50 ,Male,Hyderabad,Fair,Somewhat safe,Baby-changing facilities,No,A few times a week,Satisfied,More frequent buses/trains,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Public restrooms,Dissatisfied,Monthly,Satisfied,E book access,Improve customer service
36-50 ,Female,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,No,Never,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Satisfied,E book access,Improve customer service
18-35 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Electric vehicle charging stations,Neutral,Rarely,Satisfied,E book access,Increase transparency
71-95,Male,Kanakapura,Good,Somewhat safe,Air conditioning or heating,No,A few times a week,Satisfied,More frequent buses/trains,Yes,More amenities,Picnic area,Maintenance and cleanliness,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service
36-50 ,Female,Mysuru,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,More amenities,Playgrounds,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Invest in technology
51-70 ,Male,Bengaluru,Fair,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
71-95,Male,Kolkata,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
36-50 ,Male,Hyderabad,Good,Somewhat safe,Free Wi-Fi,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology
18-35 ,Male,Bengaluru,Good,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Improved lighting and safety,Playgrounds,Lack of amenities,No,Sports equipment rentals,Satisfied,Monthly,Satisfied,Language learning programs,Improve customer service
36-50 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Sports equipment rentals,Satisfied,Quarterly,Neutral,E book access,Invest in technology
18-35 ,Male,Kanakapura,Good,Somewhat safe,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,Language learning programs,Improve customer service
71-95,Female,Hyderabad,Excellent,Somewhat unsafe,Baby-changing facilities,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Neutral,Weekly,Neutral,E book access,Invest in technology
36-50 ,Male,Chennai,Good,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Male,Hyderabad,Good,Neutral,Free Wi-Fi,Yes,A few times a week,Neutral,More frequent buses/trains,Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Female,Hyderabad,Fair,Very unsafe,Baby-changing facilities,Yes,Once a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Dissatisfied,Language learning programs,Invest in technology
18-35 ,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Very dissatisfied,Monthly,Neutral,E book access,Increase transparency
36-50 ,Female,Mysuru,Fair,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Public restrooms,Very Satisfied,Rarely,Very Satisfied,E book access,Improve customer service
36-50 ,Female,Kanakapura,Excellent,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Improved lighting and safety,Sports facilities,Lack of amenities,Sometimes,Public restrooms,Satisfied,Monthly,Neutral,Language learning programs,Enhance community engagement
71-95,Male,Kanakapura,Poor,Very safe,Comfortable seating areas,No,Never,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very dissatisfied,Weekly,Satisfied,Language learning programs,Enhance community engagement
36-50 ,Female,Mysuru,Excellent,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,Yes,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Male,Mysuru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Restrooms,Safety and security,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,Language learning programs,Invest in technology
18-35 ,Male,Bengaluru,Fair,Very safe,Free Wi-Fi,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Picnic area,Lack of amenities,Sometimes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,Language learning programs,Improve customer service
36-50 ,Male,Mysuru,Good,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Mysuru,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Improve customer service
51-70 ,Male,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Lack of amenities,Yes,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Increase transparency
51-70 ,Male,Kanakapura,Fair,Neutral,Free Wi-Fi,Yes,Once a week,Neutral,More frequent buses/trains,No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,Language learning programs,Improve customer service
36-50 ,Male,Mysuru,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Walking trails,Crowding and noise,No,Public restrooms,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Mysuru,Fair,Somewhat safe,Free Wi-Fi,Yes,Once a week,Satisfied,Increased safety and security,Yes,More amenities,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,Language learning programs,Enhance community engagement
36-50 ,Male,Kanakapura,Good,Very safe,Comfortable seating areas,Yes,Everyday,Neutral,Reduced fares or free transfers,No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Monthly,Neutral,E book access,Invest in technology
71-95,Male,Mysuru,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Mysuru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Satisfied,E book access,Improve customer service
36-50 ,Male,Hyderabad,Fair,Somewhat safe,Baby-changing facilities,No,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Monthly,Dissatisfied,Language learning programs,Improve customer service
51-70 ,Female,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Satisfied,Increased safety and security,No,Increased programming and events,Sports facilities,Safety and security,Sometimes,Public restrooms,Very dissatisfied,Weekly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Bengaluru,Poor,Somewhat unsafe,Comfortable seating areas,Yes,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement
18-35 ,Male,Hyderabad,Good,Somewhat safe,Air conditioning or heating,Yes,Everyday,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Monthly,Very Dissatisfied,E book access,Enhance community engagement
18-35 ,Female,Bengaluru,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Never,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Kolkata,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Crowding and noise,Yes,Public restrooms,Satisfied,Monthly,Satisfied,Language learning programs,Improve customer service
71-95,Female,Palamaner,Fair,Neutral,Comfortable seating areas,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Restrooms,Safety and security,No,Public restrooms,Satisfied,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
51-70 ,Female,Kanakapura,Good,Somewhat safe,Free Wi-Fi,No,Never,Very satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,No,Public restrooms,Satisfied,Weekly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Chennai,Good,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Improve customer service
18-35 ,Male,Hyderabad,Good,Neutral,Free Wi-Fi,Yes,A few times a week,Satisfied,Increased safety and security,No,Increased programming and events,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Rarely,Satisfied,E book access,Invest in technology
