age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
18-35 ,Male,Bengaluru,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Satisfied Poor Somewhat safe No Neutral",clean comfortable vehicle electric vehicle charge station e book access invest technology satisfied poor somewhat safe neutral
18-35 ,Female,Chennai,Fair,Somewhat safe,Baby-changing facilities,No,Everyday,Neutral,Increased safety and security,Yes,More amenities,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Dissatisfied,Language learning programs,Enhance community engagement,Increased safety and security Electric vehicle charging stations Language learning programs Enhance community engagement Dissatisfied Fair Somewhat safe No Neutral,increase safety security electric vehicle charge station language learning program enhance community engagement dissatisfied fair somewhat safe neutral
18-35 ,Male,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Never,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Satisfied Fair Somewhat unsafe Yes Neutral",reduce fare free transfer electric vehicle charge station diy painting improve customer service satisfied fair somewhat unsafe yes neutral
Oct-18,Female,Palamaner,Poor,Somewhat unsafe,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Playgrounds,Safety and security,No,Public restrooms,Very dissatisfied,Monthly,Satisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Improve customer service Satisfied Poor Somewhat unsafe No Satisfied",clean comfortable vehicle public restroom language learning program improve customer service satisfied poor somewhat unsafe satisfied
Oct-18,Male,Hyderabad,Good,Somewhat safe,Air conditioning or heating,No,Once a week,Very satisfied,More frequent buses/trains,Yes,Improved lighting and safety,Walking trails,Lack of amenities,Yes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Very Satisfied Good Somewhat safe No Very satisfied,frequent bus train public restroom e book access invest technology satisfied good somewhat safe satisfied
18-35 ,Female,Mysuru,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Satisfied,Rarely,Satisfied,Language learning programs,Invest in technology,Reduced fares or free transfers Sports equipment rentals Language learning programs Invest in technology Satisfied Good Somewhat safe No Very unsatisfied,reduce fare free transfer sport equipment rental language learning program invest technology satisfied good somewhat safe unsatisfied
51-70 ,Male,Kanakapura,Fair,Neutral,Comfortable seating areas,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Neutral Fair Neutral No Neutral",clean comfortable vehicle electric vehicle charge station e book access invest technology neutral fair neutral neutral
18-35 ,Male,Chennai,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,More frequent buses/trains,Sometimes,More amenities,Playgrounds,Safety and security,No,Public restrooms,Neutral,Monthly,Satisfied,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Satisfied Fair Neutral Yes Satisfied,frequent bus train public restroom e book access invest technology satisfied fair neutral yes satisfy
36-50 ,Male,Tirupati,Good,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Neutral,Increased safety and security,Sometimes,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,Language learning programs,Increase transparency,Increased safety and security Electric vehicle charging stations Language learning programs Increase transparency Neutral Good Somewhat safe Yes Neutral,increase safety security electric vehicle charge station language learning program increase transparency neutral good somewhat safe yes neutral
36-50 ,Male,Palamaner,Good,Neutral,Comfortable seating areas,No,A few times a week,Very satisfied,Increased safety and security,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Public restrooms,Very Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service,"Increased safety and security Public restrooms DIY workshop(crafting,painting) Improve customer service Neutral Good Neutral No Very satisfied",increase safety security public restroom diy painting improve customer service neutral good neutral satisfied
Oct-18,Male,Hyderabad,Good,Neutral,Free Wi-Fi,No,Never,Very satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Neutral,Weekly,Very Satisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Very Satisfied Good Neutral No Very satisfied",clean comfortable vehicle electric vehicle charge station e book access invest technology satisfied good neutral satisfied
18-35 ,Male,Hyderabad,Good,Somewhat safe,Comfortable seating areas,Yes,Never,Unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,Language learning programs,Increase transparency,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Increase transparency Neutral Good Somewhat safe Yes Unsatisfied,reduce fare free transfer electric vehicle charge station language learning program increase transparency neutral good somewhat safe yes unsatisfie
36-50 ,Male,Tirupati,Excellent,Somewhat unsafe,Baby-changing facilities,No,Never,Neutral,Increased safety and security,Sometimes,Improved lighting and safety,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Increased safety and security Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Neutral Excellent Somewhat unsafe No Neutral",increase safety security electric vehicle charge station diy painting invest technology neutral excellent somewhat unsafe neutral
18-35 ,Female,Kanakapura,Good,Neutral,Accessible facilities for people with disabilities,Yes,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Increase transparency,Increased safety and security Electric vehicle charging stations E book access Increase transparency Neutral Good Neutral Yes Unsatisfied,increase safety security electric vehicle charge station e book access increase transparency neutral good neutral yes unsatisfie
51-70 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Playgrounds,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,E book access,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations E book access Invest in technology Satisfied Good Neutral Yes Unsatisfied,reduce fare free transfer electric vehicle charge station e book access invest technology satisfied good neutral yes unsatisfie
36-50 ,Female,Chennai,Fair,Very unsafe,Baby-changing facilities,Yes,Never,Neutral,Reduced fares or free transfers,No,More amenities,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Improve customer service Very Satisfied Fair Very unsafe Yes Neutral,reduce fare free transfer electric vehicle charge station language learning program improve customer service satisfied fair unsafe yes neutral
18-35 ,Female,Kanakapura,Excellent,Neutral,Free Wi-Fi,No,Everyday,Very unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Playgrounds,Crowding and noise,Sometimes,Electric vehicle charging stations,Very Satisfied,Weekly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Satisfied Excellent Neutral No Very unsatisfied",reduce fare free transfer electric vehicle charge station diy painting increase transparency satisfy excellent neutral unsatisfied
36-50 ,Female,Palamaner,Fair,Somewhat safe,Air conditioning or heating,Yes,Once a week,Satisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Picnic area,Safety and security,No,Public restrooms,Very Satisfied,Never,Dissatisfied,Language learning programs,Invest in technology,More frequent buses/trains Public restrooms Language learning programs Invest in technology Dissatisfied Fair Somewhat safe Yes Satisfied,frequent bus train public restroom language learning program invest technology dissatisfied fair somewhat safe yes satisfied
51-70 ,Male,Kanakapura,Poor,Somewhat unsafe,Accessible facilities for people with disabilities,Yes,Never,Satisfied,Increased safety and security,Sometimes,Increased programming and events,Restrooms,Crowding and noise,No,Public restrooms,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service,Increased safety and security Public restrooms E book access Improve customer service Dissatisfied Poor Somewhat unsafe Yes Satisfied,increase safety security public restroom e book access improve customer service dissatisfied poor somewhat unsafe yes satisfied
Oct-18,Female,Palamaner,Good,Somewhat safe,Comfortable seating areas,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Monthly,Dissatisfied,E book access,Enhance community engagement,Reduced fares or free transfers Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Good Somewhat safe Yes Satisfied,reduce fare free transfer electric vehicle charge station e book access enhance community engagement dissatisfied good somewhat safe yes satisfied
36-50 ,Male,Chennai,Fair,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Very Dissatisfied,Language learning programs,Invest in technology,Increased safety and security Electric vehicle charging stations Language learning programs Invest in technology Very Dissatisfied Fair Neutral No Unsatisfied,increase safety security electric vehicle charge station language learning program invest technology dissatisfied fair neutral unsatisfied
Oct-18,Male,Kanakapura,Fair,Somewhat unsafe,Baby-changing facilities,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Neutral Fair Somewhat unsafe Yes Unsatisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service neutral fair somewhat unsafe yes unsatisfie
36-50 ,Female,Tirupati,Fair,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Restrooms,Lack of amenities,Yes,Public restrooms,Satisfied,Monthly,Satisfied,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Satisfied Fair Somewhat safe Yes Very satisfied,frequent bus train public restroom e book access invest technology satisfied fair somewhat safe yes satisfied
18-35 ,Female,Hyderabad,Fair,Somewhat safe,Free Wi-Fi,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Fair Somewhat safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral fair somewhat safe unsatisfied
Oct-18,Female,Bengaluru,Good,Somewhat unsafe,Charging stations for phones and devices,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Increase transparency,Reduced fares or free transfers Electric vehicle charging stations E book access Increase transparency Very Dissatisfied Good Somewhat unsafe No Unsatisfied,reduce fare free transfer electric vehicle charge station e book access increase transparency dissatisfied good somewhat unsafe unsatisfied
51-70 ,Male,Kanakapura,Poor,Somewhat unsafe,Charging stations for phones and devices,No,A few times a week,Very satisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Very Satisfied Poor Somewhat unsafe No Very satisfied",reduce fare free transfer electric vehicle charge station diy painting increase transparency satisfied poor somewhat unsafe satisfied
36-50 ,Female,Kanakapura,Good,Neutral,Comfortable seating areas,Yes,Never,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Invest in technology,More frequent buses/trains Electric vehicle charging stations E book access Invest in technology Very Dissatisfied Good Neutral Yes Unsatisfied,frequent bus train electric vehicle charge station e book access invest technology dissatisfied good neutral yes unsatisfie
36-50 ,Male,Tirupati,Fair,Neutral,Comfortable seating areas,Yes,Never,Neutral,Increased safety and security,Yes,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Monthly,Dissatisfied,E book access,Enhance community engagement,Increased safety and security Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Fair Neutral Yes Neutral,increase safety security electric vehicle charge station e book access enhance community engagement dissatisfy fair neutral yes neutral
Oct-18,Male,Bengaluru,Fair,Somewhat safe,Baby-changing facilities,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Monthly,Neutral,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Neutral Fair Somewhat safe No Very satisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service neutral fair somewhat safe satisfied
18-35 ,Male,Hyderabad,Fair,Neutral,Accessible facilities for people with disabilities,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Weekly,Very Satisfied,E book access,Increase transparency,More frequent buses/trains Electric vehicle charging stations E book access Increase transparency Very Satisfied Fair Neutral No Unsatisfied,frequent bus train electric vehicle charge station e book access increase transparency satisfied fair neutral unsatisfied
Oct-18,Female,Chennai,Fair,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Dissatisfied Fair Somewhat safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program invest technology dissatisfied fair somewhat safe unsatisfied
36-50 ,Male,Mysuru,Fair,Neutral,Free Wi-Fi,No,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"More frequent buses/trains Sports equipment rentals DIY workshop(crafting,painting) Invest in technology Very Dissatisfied Fair Neutral No Very satisfied",frequent bus train sport equipment rental diy painting invest technology dissatisfied fair neutral satisfied
51-70 ,Female,Kanakapura,Good,Somewhat unsafe,Baby-changing facilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Never,Dissatisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Dissatisfied Good Somewhat unsafe No Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service dissatisfied good somewhat unsafe unsatisfied
36-50 ,Female,Chennai,Poor,Very unsafe,Free Wi-Fi,No,Everyday,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Public restrooms DIY workshop(crafting,painting) Invest in technology Dissatisfied Poor Very unsafe No Unsatisfied",reduce fare free transfer public restroom diy painting invest technology dissatisfied poor unsafe unsatisfied
18-35 ,Female,Kanakapura,Good,Very unsafe,Baby-changing facilities,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,No,Sports equipment rentals,Satisfied,Weekly,Satisfied,E book access,Improve customer service,More frequent buses/trains Sports equipment rentals E book access Improve customer service Satisfied Good Very unsafe No Neutral,frequent bus train sport equipment rental e book access improve customer service satisfied good unsafe neutral
18-35 ,Male,Chennai,Good,Neutral,Baby-changing facilities,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Very Dissatisfied Good Neutral No Satisfied",clean comfortable vehicle electric vehicle charge station diy painting invest technology dissatisfied good neutral satisfied
18-35 ,Male,Kanakapura,Poor,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Restrooms,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology,Reduced fares or free transfers Sports equipment rentals Language learning programs Invest in technology Dissatisfied Poor Neutral Yes Very satisfied,reduce fare free transfer sport equipment rental language learning program invest technology dissatisfied poor neutral yes satisfied
51-70 ,Male,Kanakapura,Fair,Very unsafe,Accessible facilities for people with disabilities,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Neutral Fair Very unsafe No Unsatisfied,reduce fare free transfer sport equipment rental e book access improve customer service neutral fair unsafe unsatisfied
36-50 ,Male,Mysuru,Good,Somewhat unsafe,Air conditioning or heating,No,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology,Increased safety and security Sports equipment rentals E book access Invest in technology Neutral Good Somewhat unsafe No Neutral,increase safety security sport equipment rental e book access invest technology neutral good somewhat unsafe neutral
18-35 ,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Sports facilities,Lack of amenities,Yes,Public restrooms,Dissatisfied,Never,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"More frequent buses/trains Public restrooms DIY workshop(crafting,painting) Improve customer service Dissatisfied Poor Somewhat safe No Unsatisfied",frequent bus train public restroom diy painting improve customer service dissatisfied poor somewhat safe unsatisfied
51-70 ,Female,Chennai,Good,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,E book access,Enhance community engagement,Reduced fares or free transfers Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Good Somewhat safe Yes Satisfied,reduce fare free transfer electric vehicle charge station e book access enhance community engagement dissatisfied good somewhat safe yes satisfied
36-50 ,Male,Chennai,Poor,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Unsatisfied,Increased safety and security,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Very Satisfied,E book access,Enhance community engagement,Increased safety and security Electric vehicle charging stations E book access Enhance community engagement Very Satisfied Poor Somewhat safe Yes Unsatisfied,increase safety security electric vehicle charge station e book access enhance community engagement satisfied poor somewhat safe yes unsatisfie
Oct-18,Female,Tirupati,Good,Very unsafe,Free Wi-Fi,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Picnic area,Crowding and noise,No,Public restrooms,Dissatisfied,Monthly,Satisfied,Language learning programs,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Enhance community engagement Satisfied Good Very unsafe No Very satisfied",clean comfortable vehicle public restroom language learning program enhance community engagement satisfied good unsafe satisfied
