Timestamp,Age,Gender,City,How would you rate the overall cleanliness of the public toilets you have used in the past month?,How safe do you feel when using public toilets ?,What features would you like to see in public toilets to make them more comfortable and convenient? ,"Do you have public services like buses, parks , or libraries?","How often do you use public transportation (buses, trains,etc.)?",How satisfied are you with the public transportation in your area?,What changes would you like to see in public transportation?,Do you visit parks in your area?,What would make you more likely to visit local parks?,Which park amenities are most important to you?,What is the most significant issue or concern you face when visiting local parks? ,Do you feel safe using public transportation in your area?,Are there any new service you'd like to see in local parks? ,How satisfied are you with the services and resources offered by local libraries?, How often do you visit the library?,How satisfied are you with local public services overall?,What types of programs or services would you like to see offered at local libraries?, Do you have any suggestions for improving local public services?
24:16.3,18-35 years,Female,mysuru,,,,No,Once a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Satisfied,Rarely,Satisfied,Language learning programs,Invest in technology
24:37.9,51-70 years,Male,kanakapura,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,E book access,Invest in technology
25:44.1,18-35 years,Male,chennai,,,,Yes,Once a week,Satisfied,More frequent buses/trains,Sometimes,More amenities,Playgrounds,Safety and security,No,Public restrooms,Neutral,Monthly,Satisfied,E book access,Invest in technology
28:02.4,36-50 years,Male,Tirupati,,,,Yes,A few times a week,Neutral,Increased safety and security,Sometimes,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,Language learning programs,Increase transparency
28:19.2,36-50 years,Male,palamaner,,,,No,A few times a week,Very satisfied,Increased safety and security,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Public restrooms,Very Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
29:19.6,10-18 years,Male,Hyderabad,,,,No,Never,Very satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Neutral,Weekly,Very Satisfied,E book access,Invest in technology
29:50.7,18-35 years,Male,Hyderabad,,,,Yes,Never,Unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,Language learning programs,Increase transparency
30:05.1,36-50 years,Male,Tirupati,,,,No,Never,Neutral,Increased safety and security,Sometimes,Improved lighting and safety,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
30:34.0,18-35 years,Female,kanakapura,,,,Yes,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Increase transparency
31:12.7,51-70 years,Male,kanakapura,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Playgrounds,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,E book access,Invest in technology
31:39.8,36-50 years,Female,chennai,,,,Yes,Never,Neutral,Reduced fares or free transfers,No,More amenities,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service
31:55.9,18-35 years,Female,kanakapura,,,,No,Everyday,Very unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Playgrounds,Crowding and noise,Sometimes,Electric vehicle charging stations,Very Satisfied,Weekly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
32:19.5,36-50 years,Female,palamaner,,,,Yes,Once a week,Satisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Picnic area,Safety and security,No,Public restrooms,Very Satisfied,Never,Dissatisfied,Language learning programs,Invest in technology
32:31.8,51-70 years,Male,kanakapura,,,,Yes,Never,Satisfied,Increased safety and security,Sometimes,Increased programming and events,Restrooms,Crowding and noise,No,Public restrooms,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service
33:12.5,10-18 years,Female,palamaner,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Monthly,Dissatisfied,E book access,Enhance community engagement
33:43.2,36-50 years,Male,chennai,,,,No,A few times a week,Unsatisfied,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Very Dissatisfied,Language learning programs,Invest in technology
34:10.5,10-18 years,Male,kanakapura,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,E book access,Improve customer service
34:33.8,36-50 years,Female,Tirupati,,,,Yes,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Restrooms,Lack of amenities,Yes,Public restrooms,Satisfied,Monthly,Satisfied,E book access,Invest in technology
35:09.0,18-35 years,Female,Hyderabad,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
35:30.0,10-18 years,Female,Bengaluru,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Increase transparency
36:10.5,51-70 years,Male,kanakapura,,,,No,A few times a week,Very satisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
36:51.0,36-50 years,Female,kanakapura,,,,Yes,Never,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Invest in technology
37:07.6,36-50 years,Male,Tirupati,,,,Yes,Never,Neutral,Increased safety and security,Yes,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Monthly,Dissatisfied,E book access,Enhance community engagement
37:51.4,10-18 years,Male,Bengaluru,,,,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Monthly,Neutral,Language learning programs,Improve customer service
38:09.6,18-35 years,Male,Hyderabad,,,,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Weekly,Very Satisfied,E book access,Increase transparency
39:12.2,10-18 years,Female,chennai,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
39:55.6,36-50 years,Male,mysuru,,,,No,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
40:07.2,51-70 years,Female,kanakapura,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Never,Dissatisfied,Language learning programs,Improve customer service
40:59.1,36-50 years,Female,chennai,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
41:10.4,18-35 years,Female,kanakapura,,,,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,No,Sports equipment rentals,Satisfied,Weekly,Satisfied,E book access,Improve customer service
41:57.9,18-35 years,Male,chennai,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
42:08.8,18-35 years,Male,kanakapura,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Restrooms,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology
42:51.8,51-70 years,Male,kanakapura,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service
43:06.1,36-50 years,Male,mysuru,,,,No,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology
44:05.5,18-35 years,Male,Hyderabad,,,,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Sports facilities,Lack of amenities,Yes,Public restrooms,Dissatisfied,Never,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
44:38.5,51-70 years,Female,chennai,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,E book access,Enhance community engagement
45:09.0,36-50 years,Male,chennai,,,,Yes,A few times a week,Unsatisfied,Increased safety and security,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Very Satisfied,E book access,Enhance community engagement
45:47.8,10-18 years,Female,Tirupati,,,,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Picnic area,Crowding and noise,No,Public restrooms,Dissatisfied,Monthly,Satisfied,Language learning programs,Enhance community engagement
46:05.1,10-18 years,Male,kanakapura,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Improve customer service
46:59.5,36-50 years,Male,Andhra pradesh,,,,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Sometimes,Public restrooms,Very dissatisfied,Weekly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
47:39.1,51-70 years,Male,mysuru,,,,Yes,Never,Very unsatisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Restrooms,Safety and security,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency
48:14.7,18-35 years,Male,palamaner,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
48:43.0,36-50 years,Male,Tirupati,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service
49:03.9,36-50 years,Female,mysuru,,,,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Public restrooms,Satisfied,Rarely,Very Satisfied,E book access,Enhance community engagement
49:48.2,18-35 years,Female,chennai,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
50:17.4,36-50 years,Male,kanakapura,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Rarely,Neutral,E book access,Improve customer service
51:03.6,36-50 years,Male,Bengaluru,,,,Yes,Once a week,Neutral,Increased safety and security,No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Rarely,Neutral,E book access,Increase transparency
51:34.0,18-35 years,Female,Bengaluru,,,,No,A few times a week,Unsatisfied,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,E book access,Enhance community engagement
52:07.3,36-50 years,Female,mysuru,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
52:32.6,36-50 years,Male,Bengaluru,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Very Satisfied,Never,Neutral,E book access,Increase transparency
53:12.4,51-70 years,Female,mysuru,,,,No,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Safety and security,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
53:34.4,36-50 years,Male,Bengaluru,,,,Yes,Once a week,Satisfied,More frequent buses/trains,No,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,Language learning programs,Invest in technology
54:07.2,10-18 years,Female,chennai,,,,Yes,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology
54:46.2,36-50 years,Male,Hyderabad,,,,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement
55:07.3,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Very satisfied,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Dissatisfied,E book access,Improve customer service
55:36.3,36-50 years,Female,mysuru,,,,No,Never,Very unsatisfied,Increased safety and security,Sometimes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Sometimes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
56:17.4,18-35 years,Male,Hyderabad,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Very Satisfied,E book access,Improve customer service
56:50.3,10-18 years,Female,palamaner,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
56:59.1,10-18 years,Female,chennai,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,E book access,Enhance community engagement
57:05.7,18-35 years,Female,chennai,,,,No,Once a week,Satisfied,More frequent buses/trains,Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
57:48.5,36-50 years,Female,Bengaluru,,,,Yes,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
58:08.8,36-50 years,Female,Bengaluru,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Public restrooms,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
58:53.3,18-35 years,Female,palamaner,,,,Yes,Once a week,Satisfied,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,No,Public restrooms,Neutral,Rarely,Dissatisfied,Language learning programs,Enhance community engagement
59:02.3,18-35 years,Male,Tirupati,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Playgrounds,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,E book access,Invest in technology
59:55.2,18-35 years,Male,Tirupati,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Crowding and noise,No,Public restrooms,Very Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
00:04.3,51-70 years,Female,chennai,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Restrooms,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Very Dissatisfied,E book access,Improve customer service
00:40.4,51-70 years,Female,mysuru,,,,Yes,Everyday,Neutral,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,Language learning programs,Improve customer service
01:03.7,10-18 years,Male,kanakapura,,,,Yes,A few times a week,Very satisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Safety and security,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
01:54.1,36-50 years,Female,kanakapura,,,,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Lack of amenities,Sometimes,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Satisfied,E book access,Increase transparency
02:11.4,36-50 years,Male,Hyderabad,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,E book access,Invest in technology
02:51.2,36-50 years,Female,Tirupati,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
03:09.6,18-35 years,Male,mysuru,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Monthly,Dissatisfied,Language learning programs,Improve customer service
03:35.7,36-50 years,Male,Tirupati,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,Yes,Public restrooms,Very dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
04:08.9,18-35 years,Female,Hyderabad,,,,No,A few times a week,Satisfied,More frequent buses/trains,No,Improved lighting and safety,Sports facilities,Safety and security,Yes,Sports equipment rentals,Satisfied,Rarely,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
04:48.0,36-50 years,Female,kanakapura,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Lack of amenities,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Satisfied,E book access,Enhance community engagement
05:19.3,36-50 years,Male,chennai,,,,No,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
06:02.5,36-50 years,Female,kanakapura,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Weekly,Very Satisfied,E book access,Invest in technology
06:47.3,36-50 years,Male,palamaner,,,,Yes,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
07:04.1,10-18 years,Female,Bengaluru,,,,Yes,A few times a week,Very unsatisfied,Increased safety and security,No,Improved lighting and safety,Picnic area,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,E book access,Increase transparency
07:59.0,18-35 years,Female,Andhra pradesh,,,,Yes,Once a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Public restrooms,Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
08:05.1,36-50 years,Female,Bengaluru,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Weekly,Very Satisfied,E book access,Enhance community engagement
08:51.9,51-70 years,Female,chennai,,,,No,Everyday,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,Language learning programs,Enhance community engagement
09:08.6,36-50 years,Male,Tirupati,,,,Yes,Once a week,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
09:53.1,36-50 years,Male,palamaner,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,Language learning programs,Enhance community engagement
10:31.9,18-35 years,Female,Andhra pradesh,,,,No,Once a week,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Very Satisfied,Monthly,Neutral,Language learning programs,Improve customer service
