Timestamp,How old are you?,What is your gender?,Where do you currently live?,How would you rate the overall cleanliness of the public toilets you have used in the past month?,How safe do you feel when using public toilets ?,What features would you like to see in public toilets to make them more comfortable and convenient? ,"Do you have public services like buses, parks , or libraries?","How often do you use public transportation (buses, trains,etc.)?",How satisfied are you with the public transportation in your area?,What changes would you like to see in public transportation?,Do you visit parks in your area?,What would make you more likely to visit local parks?,Which park amenities are most important to you?,What is the most significant issue or concern you face when visiting local parks? ,Do you feel safe using public transportation in your area?,Are there any new service you'd like to see in local parks? ,How satisfied are you with the services and resources offered by local libraries?, How often do you visit the library?,How satisfied are you with local public services overall?,What types of programs or services would you like to see offered at local libraries?, Do you have any suggestions for improving local public services?
2025-03-08 23:20:05.385,18-35 years,Male,Bengaluru,,,,Yes,Never,Unsatisfied,Increased safety and security,No,More amenities,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:20:35.877,10-18 years,Female,Andhra pradesh,,,,No,A few times a week,Unsatisfied,More frequent buses/trains,No,More amenities,Restrooms,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Invest in technology
2025-03-08 23:21:26.453,36-50 years,Male,kanakapura,,,,Yes,Never,Neutral,More frequent buses/trains,No,Increased programming and events,Restrooms,Accessibility and inclusivity,Sometimes,Public restrooms,Dissatisfied,Never,Satisfied,E book access,Enhance community engagement
2025-03-08 23:21:38.224,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Dissatisfied,Weekly,Satisfied,E book access,Increase transparency
2025-03-08 23:22:01.735,10-18 years,Male,mysuru,,,,No,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Public restrooms,Satisfied,Weekly,Neutral,Language learning programs,Invest in technology
2025-03-08 23:22:29.982,18-35 years,Male,Bengaluru,,,,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,E book access,Invest in technology
2025-03-08 23:23:00.280,18-35 years,Female,chennai,,,,No,Everyday,Neutral,Increased safety and security,Yes,More amenities,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Dissatisfied,Language learning programs,Enhance community engagement
2025-03-08 23:23:16.130,18-35 years,Male,mysuru,,,,Yes,Never,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:23:37.390,10-18 years,Female,palamaner,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Playgrounds,Safety and security,No,Public restrooms,Very dissatisfied,Monthly,Satisfied,Language learning programs,Improve customer service
2025-03-08 23:23:55.170,10-18 years,Male,Hyderabad,,,,No,Once a week,Very satisfied,More frequent buses/trains,Yes,Improved lighting and safety,Walking trails,Lack of amenities,Yes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,E book access,Invest in technology
2025-03-08 23:24:16.272,18-35 years,Female,mysuru,,,,No,Once a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Satisfied,Rarely,Satisfied,Language learning programs,Invest in technology
2025-03-08 23:24:37.938,51-70 years,Male,kanakapura,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,E book access,Invest in technology
2025-03-08 23:25:44.111,18-35 years,Male,chennai,,,,Yes,Once a week,Satisfied,More frequent buses/trains,Sometimes,More amenities,Playgrounds,Safety and security,No,Public restrooms,Neutral,Monthly,Satisfied,E book access,Invest in technology
2025-03-08 23:28:02.438,36-50 years,Male,Tirupati,,,,Yes,A few times a week,Neutral,Increased safety and security,Sometimes,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,Language learning programs,Increase transparency
2025-03-08 23:28:19.241,36-50 years,Male,palamaner,,,,No,A few times a week,Very satisfied,Increased safety and security,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Public restrooms,Very Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:29:19.589,10-18 years,Male,Hyderabad,,,,No,Never,Very satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Neutral,Weekly,Very Satisfied,E book access,Invest in technology
2025-03-08 23:29:50.661,18-35 years,Male,Hyderabad,,,,Yes,Never,Unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,Language learning programs,Increase transparency
2025-03-08 23:30:05.145,36-50 years,Male,Tirupati,,,,No,Never,Neutral,Increased safety and security,Sometimes,Improved lighting and safety,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:30:33.982,18-35 years,Female,kanakapura,,,,Yes,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Increase transparency
2025-03-08 23:31:12.714,51-70 years,Male,kanakapura,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Playgrounds,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,E book access,Invest in technology
2025-03-08 23:31:39.834,36-50 years,Female,chennai,,,,Yes,Never,Neutral,Reduced fares or free transfers,No,More amenities,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service
2025-03-08 23:31:55.908,18-35 years,Female,kanakapura,,,,No,Everyday,Very unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Playgrounds,Crowding and noise,Sometimes,Electric vehicle charging stations,Very Satisfied,Weekly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
2025-03-08 23:32:19.512,36-50 years,Female,palamaner,,,,Yes,Once a week,Satisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Picnic area,Safety and security,No,Public restrooms,Very Satisfied,Never,Dissatisfied,Language learning programs,Invest in technology
2025-03-08 23:32:31.780,51-70 years,Male,kanakapura,,,,Yes,Never,Satisfied,Increased safety and security,Sometimes,Increased programming and events,Restrooms,Crowding and noise,No,Public restrooms,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service
2025-03-08 23:33:12.524,10-18 years,Female,palamaner,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Monthly,Dissatisfied,E book access,Enhance community engagement
2025-03-08 23:33:43.211,36-50 years,Male,chennai,,,,No,A few times a week,Unsatisfied,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Very Dissatisfied,Language learning programs,Invest in technology
2025-03-08 23:34:10.481,10-18 years,Male,kanakapura,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,E book access,Improve customer service
2025-03-08 23:34:33.833,36-50 years,Female,Tirupati,,,,Yes,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Restrooms,Lack of amenities,Yes,Public restrooms,Satisfied,Monthly,Satisfied,E book access,Invest in technology
2025-03-08 23:35:09.029,18-35 years,Female,Hyderabad,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
2025-03-08 23:35:30.034,10-18 years,Female,Bengaluru,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Increase transparency
2025-03-08 23:36:10.517,51-70 years,Male,kanakapura,,,,No,A few times a week,Very satisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
2025-03-08 23:36:50.951,36-50 years,Female,kanakapura,,,,Yes,Never,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Invest in technology
2025-03-08 23:37:07.600,36-50 years,Male,Tirupati,,,,Yes,Never,Neutral,Increased safety and security,Yes,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Monthly,Dissatisfied,E book access,Enhance community engagement
2025-03-08 23:37:51.449,10-18 years,Male,Bengaluru,,,,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Monthly,Neutral,Language learning programs,Improve customer service
2025-03-08 23:38:09.623,18-35 years,Male,Hyderabad,,,,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Weekly,Very Satisfied,E book access,Increase transparency
2025-03-08 23:39:12.177,10-18 years,Female,chennai,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
2025-03-08 23:39:55.621,36-50 years,Male,mysuru,,,,No,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:40:07.153,51-70 years,Female,kanakapura,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Never,Dissatisfied,Language learning programs,Improve customer service
2025-03-08 23:40:59.090,36-50 years,Female,chennai,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:41:10.377,18-35 years,Female,kanakapura,,,,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,No,Sports equipment rentals,Satisfied,Weekly,Satisfied,E book access,Improve customer service
2025-03-08 23:41:57.861,18-35 years,Male,chennai,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:42:08.824,18-35 years,Male,kanakapura,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Restrooms,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology
2025-03-08 23:42:51.757,51-70 years,Male,kanakapura,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service
2025-03-08 23:43:06.105,36-50 years,Male,mysuru,,,,No,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology
2025-03-08 23:44:05.488,18-35 years,Male,Hyderabad,,,,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Sports facilities,Lack of amenities,Yes,Public restrooms,Dissatisfied,Never,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:44:38.484,51-70 years,Female,chennai,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,E book access,Enhance community engagement
2025-03-08 23:45:08.976,36-50 years,Male,chennai,,,,Yes,A few times a week,Unsatisfied,Increased safety and security,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Very Satisfied,E book access,Enhance community engagement
2025-03-08 23:45:47.805,10-18 years,Female,Tirupati,,,,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Picnic area,Crowding and noise,No,Public restrooms,Dissatisfied,Monthly,Satisfied,Language learning programs,Enhance community engagement
2025-03-08 23:46:05.082,10-18 years,Male,kanakapura,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Improve customer service
2025-03-08 23:46:59.512,36-50 years,Male,Andhra pradesh,,,,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Sometimes,Public restrooms,Very dissatisfied,Weekly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:47:39.058,51-70 years,Male,mysuru,,,,Yes,Never,Very unsatisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Restrooms,Safety and security,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency
2025-03-08 23:48:14.721,18-35 years,Male,palamaner,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:48:42.971,36-50 years,Male,Tirupati,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service
2025-03-08 23:49:03.917,36-50 years,Female,mysuru,,,,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Public restrooms,Satisfied,Rarely,Very Satisfied,E book access,Enhance community engagement
2025-03-08 23:49:48.207,18-35 years,Female,chennai,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:50:17.428,36-50 years,Male,kanakapura,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Rarely,Neutral,E book access,Improve customer service
2025-03-08 23:51:03.592,36-50 years,Male,Bengaluru,,,,Yes,Once a week,Neutral,Increased safety and security,No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Rarely,Neutral,E book access,Increase transparency
2025-03-08 23:51:34.010,18-35 years,Female,Bengaluru,,,,No,A few times a week,Unsatisfied,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,E book access,Enhance community engagement
2025-03-08 23:52:07.317,36-50 years,Female,mysuru,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
2025-03-08 23:52:32.585,36-50 years,Male,Bengaluru,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Very Satisfied,Never,Neutral,E book access,Increase transparency
2025-03-08 23:53:12.412,51-70 years,Female,mysuru,,,,No,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Safety and security,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
2025-03-08 23:53:34.367,36-50 years,Male,Bengaluru,,,,Yes,Once a week,Satisfied,More frequent buses/trains,No,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,Language learning programs,Invest in technology
2025-03-08 23:54:07.194,10-18 years,Female,chennai,,,,Yes,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology
2025-03-08 23:54:46.163,36-50 years,Male,Hyderabad,,,,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement
2025-03-08 23:55:07.321,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Very satisfied,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Dissatisfied,E book access,Improve customer service
2025-03-08 23:55:36.284,36-50 years,Female,mysuru,,,,No,Never,Very unsatisfied,Increased safety and security,Sometimes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Sometimes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-08 23:56:17.375,18-35 years,Male,Hyderabad,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Very Satisfied,E book access,Improve customer service
2025-03-08 23:56:50.252,10-18 years,Female,palamaner,,,,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:56:59.105,10-18 years,Female,chennai,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,E book access,Enhance community engagement
2025-03-08 23:57:05.702,18-35 years,Female,chennai,,,,No,Once a week,Satisfied,More frequent buses/trains,Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:57:48.510,36-50 years,Female,Bengaluru,,,,Yes,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
2025-03-08 23:58:08.808,36-50 years,Female,Bengaluru,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Public restrooms,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
2025-03-08 23:58:53.286,18-35 years,Female,palamaner,,,,Yes,Once a week,Satisfied,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,No,Public restrooms,Neutral,Rarely,Dissatisfied,Language learning programs,Enhance community engagement
2025-03-08 23:59:02.349,18-35 years,Male,Tirupati,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Playgrounds,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,E book access,Invest in technology
2025-03-08 23:59:55.223,18-35 years,Male,Tirupati,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Crowding and noise,No,Public restrooms,Very Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
2025-03-09 00:00:04.312,51-70 years,Female,chennai,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Restrooms,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Very Dissatisfied,E book access,Improve customer service
2025-03-09 00:00:40.409,51-70 years,Female,mysuru,,,,Yes,Everyday,Neutral,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,Language learning programs,Improve customer service
2025-03-09 00:01:03.676,10-18 years,Male,kanakapura,,,,Yes,A few times a week,Very satisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Safety and security,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
2025-03-09 00:01:54.108,36-50 years,Female,kanakapura,,,,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Lack of amenities,Sometimes,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Satisfied,E book access,Increase transparency
2025-03-09 00:02:11.372,36-50 years,Male,Hyderabad,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,E book access,Invest in technology
2025-03-09 00:02:51.180,36-50 years,Female,Tirupati,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
2025-03-09 00:03:09.580,18-35 years,Male,mysuru,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Monthly,Dissatisfied,Language learning programs,Improve customer service
2025-03-09 00:03:35.690,36-50 years,Male,Tirupati,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,Yes,Public restrooms,Very dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
2025-03-09 00:04:08.861,18-35 years,Female,Hyderabad,,,,No,A few times a week,Satisfied,More frequent buses/trains,No,Improved lighting and safety,Sports facilities,Safety and security,Yes,Sports equipment rentals,Satisfied,Rarely,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
2025-03-09 00:04:48.049,36-50 years,Female,kanakapura,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Lack of amenities,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Satisfied,E book access,Enhance community engagement
2025-03-09 00:05:19.337,36-50 years,Male,chennai,,,,No,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
2025-03-09 00:06:02.522,36-50 years,Female,kanakapura,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Weekly,Very Satisfied,E book access,Invest in technology
